olac - dc:contributor	olac - dc:identifier
Fiscus, Jonathan G.	LDC2011V04
Michel, Martial	LDC2011V04
NIST Multimodal Information Group	LDC2011S04
Maamouri, Mohamed	LDC2011T09
Bies, Ann	LDC2011T09
Kulick, Seth	LDC2011T09
Gaddeche, Fatma	LDC2011T09
Mekki, Wigdan	LDC2011T09
Krouna, Sondos	LDC2011T09
Bouziri, Basma	LDC2011T09
Zaghouani, Wajdi	LDC2011T09
NIST Multimodal Information Group	LDC2011S07
Kasturi, Rangachar	LDC2011V06
Goldgof, Dmitry	LDC2011V06
Manohar, Vasant	LDC2011V06
Soundararajan, Padmanabhan	LDC2011V06
Garofolo, John S.	LDC2011V06
Bowers, Rachel	LDC2011V06
Rose, Travis	LDC2011V06
Fiscus, Jonathan G.	LDC2011V06
Michel, Martial	LDC2011V06
Graff, David	LDC2011T10
Mendonça, Ângelo	LDC2011T10
DiPersio, Denise	LDC2011T10
Kasturi, Rangachar	LDC2011V05
Goldgof, Dmitry	LDC2011V05
Manohar, Vasant	LDC2011V05
Soundararajan, Padmanabhan	LDC2011V05
Garofolo, John S.	LDC2011V05
Bowers, Rachel	LDC2011V05
Rose, Travis	LDC2011V05
Fiscus, Jonathan G.	LDC2011V05
Michel, Martial	LDC2011V05
Nieto, Marta Guerrero	LDC2012T01
Sauri, Roser	LDC2012T01
NIST Multimodal Information Group	LDC2011S08
Parker, Robert	LDC2011T11
Graff, David	LDC2011T11
Chen, Ke	LDC2011T11
Kong, Junbo	LDC2011T11
Maeda, Kazuaki	LDC2011T11
Mendonça, Ângelo	LDC2011T12
Jaquette, Daniel	LDC2011T12
Graff, David	LDC2011T12
DiPersio, Denise	LDC2011T12
NIST Multimodal Information Group	LDC2011S09
Parker, Robert	LDC2011T13
Graff, David	LDC2011T13
Chen, Ke	LDC2011T13
Kong, Junbo	LDC2011T13
Maeda, Kazuaki	LDC2011T13
NIST Multimodal Information Group	LDC2011S10
NIST Multimodal Information Group	LDC2011S11
Rudzicz, Frank	LDC2012S02
Hirst, Graeme	LDC2012S02
van Lieshout, Pascal	LDC2012S02
Penn, Gerald	LDC2012S02
Shein, Fraser	LDC2012S02
Namasivayam, Aravind	LDC2012S02
Wolff, Talya	LDC2012S02
Kretzschmar, William A., Jr.	LDC2012S03
Bounds, Paulina	LDC2012S03
Hettel, Jacqueline	LDC2012S03
Coats, Steven	LDC2012S03
Pederson, Lee	LDC2012S03
Opas-Hänninen, Lisa Lena	LDC2012S03
Juuso, Ilkka	LDC2012S03
Seppänen, Tapio	LDC2012S03
Kobayashi, Masato	LDC2012S04
Tirkey, Bablu	LDC2012S04
Bies, Ann	LDC2012T02
Mott, Justin	LDC2012T02
Warner, Colin	LDC2012T02
Kulick, Seth	LDC2012T02
Ramabhadran, Bhuvana	LDC2012S05
Gustman, Samuel	LDC2012S05
Byrne, William	LDC2012S05
Hajič, Jan	LDC2012S05
Oard, Douglas	LDC2012S05
Olsson, J. Scott	LDC2012S05
Picheny, Michael	LDC2012S05
Psutka, Josef	LDC2012S05
Kasturi, Rangachar	LDC2012V01
Goldgof, Dmitry	LDC2012V01
Manohar, Vasant	LDC2012V01
Soundararajan, Padmanabhan	LDC2012V01
Garofolo, John S.	LDC2012V01
Bowers, Rachel	LDC2012V01
Rose, Travis	LDC2012V01
Fiscus, Jonathan G.	LDC2012V01
Michel, Martial	LDC2012V01
Hajič, Jan	LDC2012T03
Maria Antonia Martí	LDC2012T03
Marquez, Lluis	LDC2012T03
Nivre, Joakim	LDC2012T03
Štěpánek, Jan	LDC2012T03
Padó, Sebastian	LDC2012T03
Straňák, Pavel	LDC2012T03
Hajič, Jan	LDC2012T04
Ciaramita, Massimiliano	LDC2012T04
Johansson, Richard	LDC2012T04
Meyers, Adam	LDC2012T04
Štěpánek, Jan	LDC2012T04
Nivre, Joakim	LDC2012T04
Straňák, Pavel	LDC2012T04
Surdeanu, Mihai	LDC2012T04
Xue, Nianwen (Bert)	LDC2012T04
Zhang, Yi	LDC2012T04
Che, Wanxiang	LDC2012T05
Li, Zhenghua	LDC2012T05
Liu, Ting	LDC2012T05
Friedman, Lauren	LDC2012T06
Jin, Hubert	LDC2012T06
Song, Zhiyi	LDC2012T06
Krug, Gary	LDC2012T06
Strassel, Stephanie	LDC2012T06
Saraçlar, Murat	LDC2012S06
Maamouri, Mohamed	LDC2012T07
Bies, Ann	LDC2012T07
Kulick, Seth	LDC2012T07
Krouna, Sondos	LDC2012T07
Tabassi, Dalila	LDC2012T07
Ciul, Michael	LDC2012T07
Hajič, Jan	LDC2012T08
Hajičová, Eva	LDC2012T08
Panevová, Jarmila	LDC2012T08
Sgall, Petr	LDC2012T08
Cinková, Silvie	LDC2012T08
Fučíková, Eva	LDC2012T08
Mikulová, Marie	LDC2012T08
Pajas, Petr	LDC2012T08
Popelka, Jan	LDC2012T08
Semecký, Jiří	LDC2012T08
Šindlerová, Jana	LDC2012T08
Štěpánek, Jan	LDC2012T08
Toman, Josef	LDC2012T08
Urešová, Zdeňka	LDC2012T08
Žabokrtský, Zdeněk	LDC2012T08
Raytheon BBN Technologies	LDC2012T09
Linguistic Data Consortium	LDC2012T09
Software, Sakhr	LDC2012T09
Sauri, Roser	LDC2012T10
Badia, Toni	LDC2012T10
Carvalho, Vitor R.	LDC2012T11
Kiran, Yigit	LDC2012T11
Borthwick, Andrew	LDC2012T11
Sauri, Roser	LDC2012T12
Badia, Toni	LDC2012T12
Bies, Ann	LDC2012T13
Mott, Justin	LDC2012T13
Warner, Colin	LDC2012T13
Kulick, Seth	LDC2012T13
Friedman, Lauren	LDC2012T14
Jin, Hubert	LDC2012T14
Song, Zhiyi	LDC2012T14
Krug, Gary	LDC2012T14
Strassel, Stephanie	LDC2012T14
Li, Xuansong	LDC2012T16
Grimes, Stephen	LDC2012T16
Strassel, Stephanie	LDC2012T16
Lincoln, Mike	LDC2014S03
Zwyssig, Erich	LDC2014S03
McCowan, Iain	LDC2014S03
Lee, David	LDC2012T15
Ismael, Safa	LDC2012T15
Grimes, Stephen	LDC2012T15
Doermann, Dave	LDC2012T15
Strassel, Stephanie	LDC2012T15
Song, Zhiyi	LDC2012T15
Bamba, Moussa	LDC2013L01
Friedman, Lauren	LDC2012T17
Jin, Hubert	LDC2012T17
Song, Zhiyi	LDC2012T17
Krug, Gary	LDC2012T17
Strassel, Stephanie	LDC2012T17
Friedman, Lauren	LDC2012T18
Jin, Hubert	LDC2012T18
Song, Zhiyi	LDC2012T18
Krug, Gary	LDC2012T18
Strassel, Stephanie	LDC2012T18
Glenn, Meghan	LDC2013T04
Lee, Haejoong	LDC2013T04
Strassel, Stephanie	LDC2013T04
Maeda, Kazuaki	LDC2013T04
Friedman, Lauren	LDC2013T01
Jin, Hubert	LDC2013T01
Song, Zhiyi	LDC2013T01
Krug, Gary	LDC2013T01
Strassel, Stephanie	LDC2013T01
Li, Xuansong	LDC2012T20
Grimes, Stephen	LDC2012T20
Strassel, Stephanie	LDC2012T20
Li, Xuansong	LDC2013T05
Grimes, Stephen	LDC2013T05
Strassel, Stephanie	LDC2013T05
NIST Multimodal Information Group	LDC2013T03
Walker, Kevin	LDC2013S02
Caruso, Christopher	LDC2013S02
Maeda, Kazuaki	LDC2013S02
DiPersio, Denise	LDC2013S02
Strassel, Stephanie	LDC2013S02
Napoles, Courtney	LDC2012T21
Gormley, Matthew R.	LDC2012T21
Van Durme, Benjamin	LDC2012T21
Li, Xuansong	LDC2012T24
Grimes, Stephen	LDC2012T24
Strassel, Stephanie	LDC2012T24
Doran, Christine	LDC2012T22
Burger, John D.	LDC2012T22
Henderson, John C.	LDC2012T22
Zarrella, Guido	LDC2012T22
Doran, Christine	LDC2012T23
Burger, John D.	LDC2012T23
Henderson, John C.	LDC2012T23
Zarrella, Guido	LDC2012T23
Doran, Christine	LDC2013T02
Burger, John D.	LDC2013T02
Henderson, John C.	LDC2013T02
Zarrella, Guido	LDC2013T02
Franz, Alex	LDC2013T06
Kumar, Shankar	LDC2013T06
Brants, Thorsten	LDC2013T06
Brandschain, Linda	LDC2013S03
Graff, David	LDC2013S03
Walker, Kevin	LDC2013S03
Glenn, Meghan	LDC2013T08
Lee, Haejoong	LDC2013T08
Strassel, Stephanie	LDC2013T08
Maeda, Kazuaki	LDC2013T08
Walker, Kevin	LDC2013S04
Caruso, Christopher	LDC2013S04
Maeda, Kazuaki	LDC2013S04
DiPersio, Denise	LDC2013S04
Strassel, Stephanie	LDC2013S04
Lee, David	LDC2013T09
Ismael, Safa	LDC2013T09
Doermann, Dave	LDC2013T09
Strassel, Stephanie	LDC2013T09
Song, Zhiyi	LDC2013T09
Grimes, Stephen	LDC2013T09
Li, Xuansong	LDC2013T10
Grimes, Stephen	LDC2013T10
Ismael, Safa	LDC2013T10
Zakhary, Dalal	LDC2013T10
Strassel, Stephanie	LDC2013T10
Maamouri, Mohamed	LDC2013T10
Bies, Ann	LDC2013T10
Brandschain, Linda	LDC2013S05
Graff, David	LDC2013S05
Friedman, Lauren	LDC2013T11
Jin, Hubert	LDC2013T11
Song, Zhiyi	LDC2013T11
Krug, Gary	LDC2013T11
Strassel, Stephanie	LDC2013T11
Ide, Nancy	LDC2013T12
Suderman, Keith	LDC2013T12
Baker, Collin	LDC2013T12
Passonneau, Rebecca	LDC2013T12
Fellbaum, Christiane	LDC2013T12
Linguistic Data Consortium	LDC2013S06
Friedman, Lauren	LDC2013T16
Jin, Hubert	LDC2013T16
Song, Zhiyi	LDC2013T16
Krug, Gary	LDC2013T16
Strassel, Stephanie	LDC2013T16
Lee, David	LDC2013T15
Ismael, Safa	LDC2013T15
Doermann, Dave	LDC2013T15
Strassel, Stephanie	LDC2013T15
Song, Zhiyi	LDC2013T15
Grimes, Stephen	LDC2013T15
Walker, Kevin	LDC2013S07
Caruso, Christopher	LDC2013S07
Maeda, Kazuaki	LDC2013S07
DiPersio, Denise	LDC2013S07
Strassel, Stephanie	LDC2013S07
Glenn, Meghan	LDC2013T17
Lee, Haejoong	LDC2013T17
Strassel, Stephanie	LDC2013T17
Maeda, Kazuaki	LDC2013T17
Agirre, Eneko	LDC2013T18
Cer, Daniel	LDC2013T18
Diab, Mona	LDC2013T18
Gonzalez-Agirre, Aitor	LDC2013T18
Guo, Weiwei	LDC2013T18
Glenn, Meghan	LDC2013T20
Lee, Haejoong	LDC2013T20
Strassel, Stephanie	LDC2013T20
Maeda, Kazuaki	LDC2013T20
Walker, Kevin	LDC2013S08
Caruso, Christopher	LDC2013S08
Maeda, Kazuaki	LDC2013S08
DiPersio, Denise	LDC2013S08
Strassel, Stephanie	LDC2013S08
Weischedel, Ralph	LDC2013T19
Palmer, Martha	LDC2013T19
Marcus, Mitchell	LDC2013T19
Hovy, Eduard	LDC2013T19
Pradhan, Sameer	LDC2013T19
Ramshaw, Lance	LDC2013T19
Xue, Nianwen	LDC2013T19
Taylor, Ann	LDC2013T19
Kaufman, Jeff	LDC2013T19
Franchini, Michelle	LDC2013T19
El-Bachouti, Mohammed	LDC2013T19
Belvin, Robert	LDC2013T19
Houston, Ann	LDC2013T19
Miller, David	LDC2014T01
Graff, David	LDC2014T01
Cieri, Christopher	LDC2014T01
Jones, Karen	LDC2014T01
Strassel, Stephanie	LDC2014T01
Canavan, Alexandra	LDC2014S01
Zipperlen, George	LDC2014S01
Graff, David	LDC2014S01
Li, Xuansong	LDC2014T03
Grimes, Stephen	LDC2014T03
Ismael, Safa	LDC2014T03
Strassel, Stephanie	LDC2014T03
Maamouri, Mohamed	LDC2014T03
Bies, Ann	LDC2014T03
NIST Multimodal Information Group	LDC2014T02
Alsulaiman, Mansour	LDC2014S02
Muhammad, Ghulam	LDC2014S02
Abdelkader, Bencherif Mohamed	LDC2014S02
Mahmood, Awais	LDC2014S02
Ali, Zulfiqar	LDC2014S02
Friedman, Lauren	LDC2014T04
Jin, Hubert	LDC2014T04
Song, Zhiyi	LDC2014T04
Krug, Gary	LDC2014T04
Strassel, Stephanie	LDC2014T04
Li, Xuansong	LDC2014T05
Grimes, Stephen	LDC2014T05
Ismael, Safa	LDC2014T05
Strassel, Stephanie	LDC2014T05
Blanchard, Daniel	LDC2014T06
Tetreault, Joel	LDC2014T06
Higgins, Derrick	LDC2014T06
Cahill, Aoife	LDC2014T06
Chodorow, Martin	LDC2014T06
Liu, Jun	LDC2014T07
Wei, Bifan	LDC2014T07
Ma, Jian	LDC2014T07
Wang, Chenchen	LDC2014T07
Psutka, Josef V.	LDC2014S04
Psutka, Josef	LDC2014S04
Vlasta, Radová	LDC2014S04
Ircing, Pavel	LDC2014S04
Jindřich, Matoušek	LDC2014S04
Luděk, Müller	LDC2014S04
Li, Xuansong	LDC2014T08
Grimes, Stephen	LDC2014T08
Ismael, Safa	LDC2014T08
Strassel, Stephanie	LDC2014T08
Maamouri, Mohamed	LDC2014T08
Bies, Ann	LDC2014T08
Dreyer, Markus	LDC2014T09
Marcu, Daniel	LDC2014T09
Li, Xuansong	LDC2014T10
Grimes, Stephen	LDC2014T10
Ismael, Safa	LDC2014T10
Strassel, Stephanie	LDC2014T10
Byrne, William	LDC2014S05
Knodt, Eva	LDC2014S05
Bernstein, Jared	LDC2014S05
Emami, Farzhad	LDC2014S05
Friedman, Lauren	LDC2014T11
Jin, Hubert	LDC2014T11
Song, Zhiyi	LDC2014T11
Krug, Gary	LDC2014T11
Strassel, Stephanie	LDC2014T11
Knight, Kevin	LDC2014T12
Baranescu, Laura	LDC2014T12
Bonial, Claire	LDC2014T12
Georgescu, Madalina	LDC2014T12
Griffitt, Kira	LDC2014T12
Hermjakob, Ulf	LDC2014T12
Marcu, Daniel	LDC2014T12
Palmer, Martha	LDC2014T12
Schneider, Nathan	LDC2014T12
Song, Zhiyi	LDC2014T13
Lee, David	LDC2014T13
Grimes, Stephen	LDC2014T13
Doermann, Dave	LDC2014T13
Strassel, Stephanie	LDC2014T13
Martin, Alvin	LDC2014S06
Greenberg, Craig	LDC2014S06
Graff, David	LDC2014S06
Walker, Kevin	LDC2014S06
Brandschain, Linda	LDC2014S06
Li, Xuansong	LDC2014T14
Grimes, Stephen	LDC2014T14
Ismael, Safa	LDC2014T14
Strassel, Stephanie	LDC2014T14
Friedman, Lauren	LDC2014T15
Jin, Hubert	LDC2014T15
Song, Zhiyi	LDC2014T15
Krug, Gary	LDC2014T15
Strassel, Stephanie	LDC2014T15
Simpson, Heather	LDC2014T16
Ellis, Joe	LDC2014T16
Parker, Robert	LDC2014T16
Strassel, Stephanie	LDC2014T16
Glenn, Meghan	LDC2014T17
Lee, Haejoong	LDC2014T17
Strassel, Stephanie	LDC2014T17
Maeda, Kazuaki	LDC2014T17
Walker, Kevin	LDC2014S07
Caruso, Christopher	LDC2014S07
Maeda, Kazuaki	LDC2014S07
DiPersio, Denise	LDC2014S07
Strassel, Stephanie	LDC2014S07
Song, Zhiyi	LDC2014T18
Maeda, Kazuaki	LDC2014T18
Walker, Christopher	LDC2014T18
Strassel, Stephanie	LDC2014T18
Friedman, Lauren	LDC2014T20
Jin, Hubert	LDC2014T20
Song, Zhiyi	LDC2014T20
Krug, Gary	LDC2014T20
Strassel, Stephanie	LDC2014T20
Li, Xuansong	LDC2014T19
Grimes, Stephen	LDC2014T19
Ismael, Safa	LDC2014T19
Strassel, Stephanie	LDC2014T19
Zhou, Yuping	LDC2014T21
Lu, Jill	LDC2014T21
Zhang, Jennifer	LDC2014T21
Xue, Nianwen	LDC2014T21
Chay, Kevin	LDC2014S08
Elizalde, Cecilia	LDC2014S08
Ziemski, Michal	LDC2014S08
Li, Xuansong	LDC2014T22
Grimes, Stephen	LDC2014T22
Ismael, Safa	LDC2014T22
Strassel, Stephanie	LDC2014T22
Post, Matt	LDC2014T23
Kumar, Gaurav	LDC2014T23
Lopez, Adam	LDC2014T23
Karakos, Damianos	LDC2014T23
Callison-Burch, Chris	LDC2014T23
Khudanpur, Sanjeev	LDC2014T23
Salvetti, Franco	LDC2014T24
Li, Xuansong	LDC2014T25
Grimes, Stephen	LDC2014T25
Strassel, Stephanie	LDC2014T25
Friedman, Lauren	LDC2014T26
Jin, Hubert	LDC2014T26
Song, Zhiyi	LDC2014T26
Krug, Gary	LDC2014T26
Strassel, Stephanie	LDC2014T26
Mesquita, Filipe	LDC2014T27
Schmidek, Jordan	LDC2014T27
Barbosa, Denilson	LDC2014T27
Walker, Kevin	LDC2014S09
Caruso, Christopher	LDC2014S09
Maeda, Kazuaki	LDC2014S09
DiPersio, Denise	LDC2014S09
Strassel, Stephanie	LDC2014S09
Glenn, Meghan	LDC2014T28
Lee, Haejoong	LDC2014T28
Strassel, Stephanie	LDC2014T28
Maeda, Kazuaki	LDC2014T28
Fernández, Ana	LDC2015T02
Vázquez, Gloria	LDC2015T02
Glenn, Meghan	LDC2015T01
Lee, Haejoong	LDC2015T01
Strassel, Stephanie	LDC2015T01
Maeda, Kazuaki	LDC2015T01
Walker, Kevin	LDC2015S01
Caruso, Christopher	LDC2015S01
Maeda, Kazuaki	LDC2015S01
DiPersio, Denise	LDC2015S01
Strassel, Stephanie	LDC2015S01
Oard, Douglas	LDC2015T03
Webber, William	LDC2015T03
Kirsch, David A.	LDC2015T03
Golitsynskiy, Sergey	LDC2015T03
Li, Xuansong	LDC2015T04
Grimes, Stephen	LDC2015T04
Strassel, Stephanie	LDC2015T04
Walker, Kevin	LDC2015S02
Ma, Xiaoyi	LDC2015S02
Graff, David	LDC2015S02
Strassel, Stephanie	LDC2015S02
Sessa, Stephanie	LDC2015S02
Jones, Karen	LDC2015S02
Nanyang Technological University	LDC2015S04
Universiti Sains Malaysia	LDC2015S04
Song, Zhiyi	LDC2015T05
Krug, Gary	LDC2015T05
Strassel, Stephanie	LDC2015T05
Li, Xuansong	LDC2015T06
Grimes, Stephen	LDC2015T06
Strassel, Stephanie	LDC2015T06
Ma, Xiaoyi	LDC2015T06
Xue, Nianwen	LDC2015T06
Marcus, Mitch	LDC2015T06
Taylor, Ann	LDC2015T06
Yuan, Jiahong	LDC2015S05
Ryant, Neville	LDC2015S05
Liberman, Mark	LDC2015S05
Alwan, Abeer	LDC2015S03
Lulich, Steven M.	LDC2015S03
Sommers, Mitchell S.	LDC2015S03
Song, Zhiyi	LDC2015T07
Krug, Gary	LDC2015T07
Strassel, Stephanie	LDC2015T07
Fernández, Ana	LDC2015L01
Vázquez, Gloria	LDC2015L01
Kübler, Sandra	LDC2015T08
Maier, Wolfgang	LDC2015T08
Hinrichs, Erhard	LDC2015T08
Glenn, Meghan	LDC2015T09
Lee, Haejoong	LDC2015T09
Strassel, Stephanie	LDC2015T09
Maeda, Kazuaki	LDC2015T09
Walker, Kevin	LDC2015S06
Caruso, Christopher	LDC2015S06
Maeda, Kazuaki	LDC2015S06
DiPersio, Denise	LDC2015S06
Strassel, Stephanie	LDC2015S06
Mena, Carlos Daniel Hernández	LDC2015S07
Herrera, Abel	LDC2015S07
Das, Debopam	LDC2015T10
Taboada, Maite	LDC2015T10
McFetridge, Paul	LDC2015T10
Bulgarian Academy of Sciences	LDC2015T11
Eberhard-Karls-Universität	LDC2015T11
Copenhagen Business School	LDC2015T11
Danish Society for Language and Literature	LDC2015T11
University of Groningen	LDC2015T11
Universität Potsdam	LDC2015T11
Universität des Saarlandes	LDC2015T11
Universität Stuttgart	LDC2015T11
Eberhard-Karls-Universität Tübingen	LDC2015T11
University of Southern Denmark	LDC2015T11
SINTEF Telcom & Informatics	LDC2015T11
Jožef Stefan Institute	LDC2015T11
Charles University	LDC2015T11
The Fran Ramovš Institute for the Slovenian Language	LDC2015T11
University of Barcelona	LDC2015T11
Uppsala University	LDC2015T11
Växjŏ University	LDC2015T11
Middle East Technical University	LDC2015T11
Charles University	LDC2015T12
Bies, Ann	LDC2015T13
Mott, Justin	LDC2015T13
Warner, Colin	LDC2015T13
Song, Zhiyi	LDC2015T14
Krug, Gary	LDC2015T14
Strassel, Stephanie	LDC2015T14
Brennan, Susan E.	LDC2015S08
Schuhmann, Katharina S.	LDC2015S08
Batres, Karla M.	LDC2015S08
Sezer, Taner	LDC2015T15
Sezer, Türker	LDC2015T15
Song, Zhiyi	LDC2015T21
Krug, Gary	LDC2015T21
Strassel, Stephanie	LDC2015T21
Linguistic Data Consortium	LDC2015S09
Alfaifi, Abdullah	LDC2015S10
Atwell, Eric	LDC2015S10
Walker, Kevin	LDC2015S11
Caruso, Christopher	LDC2015S11
Maeda, Kazuaki	LDC2015S11
DiPersio, Denise	LDC2015S11
Strassel, Stephanie	LDC2015S11
Glenn, Meghan	LDC2015T16
Lee, Haejoong	LDC2015T16
Strassel, Stephanie	LDC2015T16
Maeda, Kazuaki	LDC2015T16
Walker, Christopher	LDC2015T20
Song, Zhiyi	LDC2015T20
Maeda, Kazuaki	LDC2015T20
Strassel, Stephanie	LDC2015T20
Sauri, Roser	LDC2015T17
Domingo, Judith	LDC2015T17
Badia, Toni	LDC2015T17
Li, Xuansong	LDC2015T18
Grimes, Stephen	LDC2015T18
Strassel, Stephanie	LDC2015T18
Song, Zhiyi	LDC2015T19
Krug, Gary	LDC2015T19
Strassel, Stephanie	LDC2015T19
Fay, Johanna	LDC2015T22
Schatz, Thomas	LDC2015S12
Cao, Xuan-Nga	LDC2015S12
