olac - dc:contributor	olac - dc:identifier
Kolesnikova, Anna	LDC2015S12
Bergvelt, Tomas	LDC2015S12
Wright, Jonathan	LDC2015S12
Dupoux, Emmanuel	LDC2015S12
Mahmoud, Sabri A.	LDC2015T23
Ahmad, Irfan	LDC2015T23
Al-Khatib, Wasﬁ G.	LDC2015T23
Alshayeb, Mohammad	LDC2015T23
Parvez, Mohammad Tanvir	LDC2015T23
Märgner, Volker	LDC2015T23
Fink, Gernot A.	LDC2015T23
Song, Zhiyi	LDC2015T24
Krug, Gary	LDC2015T24
Strassel, Stephanie	LDC2015T24
Glenn, Meghan	LDC2015T25
Lee, Haejoong	LDC2015T25
Strassel, Stephanie	LDC2015T25
Maeda, Kazuaki	LDC2015T25
Walker, Kevin	LDC2015S13
Caruso, Christopher	LDC2015S13
Maeda, Kazuaki	LDC2015S13
DiPersio, Denise	LDC2015S13
Strassel, Stephanie	LDC2015S13
Berkling, Kay	LDC2016T01
Sauri, Roser	LDC2016T03
Domingo, Judith	LDC2016T03
Badia, Toni	LDC2016T03
Maamouri, Mohamed	LDC2016T02
Bies, Ann	LDC2016T02
Kulick, Seth	LDC2016T02
Krouna, Sondos	LDC2016T02
Tabassi, Dalila	LDC2016T02
Ciul, Michael	LDC2016T02
Song, Zhiyi	LDC2016T04
Krug, Gary	LDC2016T04
Strassel, Stephanie	LDC2016T04
Tracey, Jennifer	LDC2016T05
Lee, Haejoong	LDC2016T05
Strassel, Stephanie	LDC2016T05
Song, Zhiyi	LDC2016T05
Glenn, Meghan	LDC2016T06
Lee, Haejoong	LDC2016T06
Strassel, Stephanie	LDC2016T06
Maeda, Kazuaki	LDC2016T06
Walker, Kevin	LDC2016S01
Caruso, Christopher	LDC2016S01
Maeda, Kazuaki	LDC2016S01
DiPersio, Denise	LDC2016S01
Strassel, Stephanie	LDC2016S01
Andrus, Tony	LDC2016S02
Dubinski, Eyal	LDC2016S02
Fiscus, Jonathan G.	LDC2016S02
Gillies, Breanna	LDC2016S02
Harper, Mary	LDC2016S02
Hazen, T.J.	LDC2016S02
Hefright, Brook	LDC2016S02
Jarrett, Amy	LDC2016S02
Lin, Willa	LDC2016S02
Ray, Jessica	LDC2016S02
Rytting, Anton	LDC2016S02
Shen, Wade	LDC2016S02
Tzoukermann, Evelyne	LDC2016S02
Wong, Jamie	LDC2016S02
Tracey, Jennifer	LDC2016T07
Fore, Dana	LDC2016T07
Strassel, Stephanie	LDC2016T07
Song, Zhiyi	LDC2016T08
Krug, Gary	LDC2016T08
Strassel, Stephanie	LDC2016T08
Song, Zhiyi	LDC2016T09
Krug, Gary	LDC2016T09
Strassel, Stephanie	LDC2016T09
Flickinger, Dan	LDC2016T10
Hajič, Jan	LDC2016T10
Ivanova, Angelina	LDC2016T10
Kuhlmann, Marco	LDC2016T10
Miyao, Yusuke	LDC2016T10
Oepen, Stephan	LDC2016T10
Zeman, Daniel	LDC2016T10
Song, Zhiyi	LDC2016T11
Krug, Gary	LDC2016T11
Strassel, Stephanie	LDC2016T11
Tracey, Jennifer	LDC2016V01
Strassel, Stephanie	LDC2016V01
Morris, Amanda	LDC2016V01
Li, Xuansong	LDC2016V01
Antonishek, Brian	LDC2016V01
Fiscus, Jonathan G.	LDC2016V01
Glenn, Meghan	LDC2016T12
Lee, Haejoong	LDC2016T12
Strassel, Stephanie	LDC2016T12
Maeda, Kazuaki	LDC2016T12
Walker, Kevin	LDC2016S03
Caruso, Christopher	LDC2016S03
Maeda, Kazuaki	LDC2016S03
DiPersio, Denise	LDC2016S03
Strassel, Stephanie	LDC2016S03
Xue, Nianwen	LDC2016T13
Zhang, Xiuhong	LDC2016T13
Jiang, Zixin	LDC2016T13
Palmer, Martha	LDC2016T13
Xia, Fei	LDC2016T13
Chiou, Fu-Dong	LDC2016T13
Chang, Meiyu	LDC2016T13
Mena, Carlos Daniel Hernández	LDC2016S04
Herrera, Abel	LDC2016S04
Song, Zhiyi	LDC2016T14
Krug, Gary	LDC2016T14
Strassel, Stephanie	LDC2016T14
Song, Zhiyi	LDC2016T15
Krug, Gary	LDC2016T15
Strassel, Stephanie	LDC2016T15
Muir, Kate	LDC2016T16
Joinson, Adam	LDC2016T16
Cotterill, Rachel	LDC2016T16
Dewdney, Nigel	LDC2016T16
Kretzschmar, William A., Jr.	LDC2016S05
Bounds, Paulina	LDC2016S05
Hettel, Jacqueline	LDC2016S05
Coats, Steven	LDC2016S05
Pederson, Lee	LDC2016S05
Opas-Hänninen, Lisa Lena	LDC2016S05
Juuso, Ilkka	LDC2016S05
Seppänen, Tapio	LDC2016S05
Bills, Aric	LDC2016S06
David, Anne	LDC2016S06
Dubinski, Eyal	LDC2016S06
Fiscus, Jonathan G.	LDC2016S06
Gillies, Breanna	LDC2016S06
Gnanadesikan, Amalia	LDC2016S06
Harper, Mary	LDC2016S06
Hammond, Simon	LDC2016S06
Jarrett, Amy	LDC2016S06
Molina, María Encarnación Pérez	LDC2016S06
Ray, Jessica	LDC2016S06
Rytting, Anton	LDC2016S06
Paget, Shelley	LDC2016S06
Shen, Wade	LDC2016S06
Silber, Ronnie	LDC2016S06
Tzoukermann, Evelyne	LDC2016S06
Wong, Jamie	LDC2016S06
Bills, Aric	LDC2016S08
David, Anne	LDC2016S08
Dubinski, Eyal	LDC2016S08
Fiscus, Jonathan G.	LDC2016S08
Gillies, Breanna	LDC2016S08
Harper, Mary	LDC2016S08
Jarrett, Amy	LDC2016S08
Molina, María Encarnación Pérez	LDC2016S08
Ray, Jessica	LDC2016S08
Rytting, Anton	LDC2016S08
Paget, Shelley	LDC2016S08
Shen, Wade	LDC2016S08
Silber, Ronnie	LDC2016S08
Tzoukermann, Evelyne	LDC2016S08
Wong, Jamie	LDC2016S08
Glenn, Meghan	LDC2016T17
Lee, Haejoong	LDC2016T17
Strassel, Stephanie	LDC2016T17
Maeda, Kazuaki	LDC2016T17
Walker, Kevin	LDC2016S07
Caruso, Christopher	LDC2016S07
Maeda, Kazuaki	LDC2016S07
DiPersio, Denise	LDC2016S07
Strassel, Stephanie	LDC2016S07
Tratz, Stephen C.	LDC2016T18
Li, Xuansong	LDC2016T19
Peterson, Katherine	LDC2016T19
Grimes, Stephen	LDC2016T19
Strassel, Stephanie	LDC2016T19
Song, Zhiyi	LDC2016T20
Krug, Gary	LDC2016T20
Strassel, Stephanie	LDC2016T20
Adams, Nikki	LDC2016S09
Bills, Aric	LDC2016S09
Fiscus, Jonathan G.	LDC2016S09
Gillies, Breanna	LDC2016S09
Harper, Mary	LDC2016S09
Hazen, T.J.	LDC2016S09
Jarrett, Amy	LDC2016S09
Khugyani, Kamila Khan	LDC2016S09
Lin, Willa	LDC2016S09
Ray, Jessica	LDC2016S09
Rytting, Anton	LDC2016S09
Shen, Wade	LDC2016S09
Strahan, Tania E.	LDC2016S09
Tzoukermann, Evelyne	LDC2016S09
O'Gorman, Tim	LDC2016T23
Palmer, Martha	LDC2016T23
Andresen, Jess	LDC2016S10
Bills, Aric	LDC2016S10
Dubinski, Eyal	LDC2016S10
Fiscus, Jonathan G.	LDC2016S10
Gillies, Breanna	LDC2016S10
Harper, Mary	LDC2016S10
Hazen, T.J.	LDC2016S10
Jarrett, Amy	LDC2016S10
Roomi, Bergul	LDC2016S10
Ray, Jessica	LDC2016S10
Rytting, Anton	LDC2016S10
Shen, Wade	LDC2016S10
Tzoukermann, Evelyne	LDC2016S10
Luqman, Hamzah	LDC2016T21
Mahmoud, Sabri A.	LDC2016T21
Awaida, Sameh	LDC2016T21
Bills, Aric	LDC2016S12
David, Anne	LDC2016S12
Dubinski, Eyal	LDC2016S12
Fiscus, Jonathan G.	LDC2016S12
Hammond, Simon	LDC2016S12
Gann, Ketty	LDC2016S12
Harper, Mary	LDC2016S12
Hefright, Brook	LDC2016S12
Kazi, Michael	LDC2016S12
Lam, Julie	LDC2016S12
Ray, Jessica	LDC2016S12
Richardson, Fred	LDC2016S12
Rytting, Anton	LDC2016S12
Walter, Marle	LDC2016S12
Jones, Karen	LDC2016S11
Graff, David	LDC2016S11
Walker, Kevin	LDC2016S11
Strassel, Stephanie	LDC2016S11
Song, Zhiyi	LDC2016T25
Krug, Gary	LDC2016T25
Strassel, Stephanie	LDC2016T25
Song, Zhiyi	LDC2016T27
Krug, Gary	LDC2016T27
Strassel, Stephanie	LDC2016T27
Conners, Thomas	LDC2016S13
Fiscus, Jonathan G.	LDC2016S13
Gillies, Breanna	LDC2016S13
Harper, Mary	LDC2016S13
Hazen, T.J.	LDC2016S13
Jarrett, Amy	LDC2016S13
Lin, Willa	LDC2016S13
Molina, María Encarnación Pérez	LDC2016S13
Rafalko, Shawna	LDC2016S13
Ray, Jessica	LDC2016S13
Rytting, Anton	LDC2016S13
Shen, Wade	LDC2016S13
Tzoukermann, Evelyne	LDC2016S13
Ellis, Joe	LDC2016T26
Getman, Jeremy	LDC2016T26
Strassel, Stephanie	LDC2016T26
Bamba, Moussa	LDC2016L01
Kato, Akihiko	LDC2017T01
Shindo, Hiroyuki	LDC2017T01
Matsumoto, Yuji	LDC2017T01
Ali, Ahmed	LDC2017L01
Andrus, Tony	LDC2017S01
Bills, Aric	LDC2017S01
Corris, Miriam	LDC2017S01
Dubinski, Eyal	LDC2017S01
Fiscus, Jonathan G.	LDC2017S01
Gillies, Breanna	LDC2017S01
Harper, Mary	LDC2017S01
Hazen, T.J.	LDC2017S01
Hefright, Brook	LDC2017S01
Jarrett, Amy	LDC2017S01
Le, Hanh	LDC2017S01
Ray, Jessica	LDC2017S01
Rytting, Anton	LDC2017S01
Silber, Ronnie	LDC2017S01
Shen, Wade	LDC2017S01
Tzoukermann, Evelyne	LDC2017S01
Song, Zhiyi	LDC2017T02
Krug, Gary	LDC2017T02
Strassel, Stephanie	LDC2017T02
Larson, Brian N.	LDC2017T03
Tsou, Benjamin	LDC2016T22
Lu, Bin	LDC2016T22
Chow, Kapo	LDC2016T22
Elmadany, AbdelRahim A.	LDC2016T24
Abdou, Sherif M.	LDC2016T24
Gheith, Mervat	LDC2016T24
Walker, Kevin	LDC2017S02
Caruso, Christopher	LDC2017S02
Maeda, Kazuaki	LDC2017S02
DiPersio, Denise	LDC2017S02
Strassel, Stephanie	LDC2017S02
Glenn, Meghan	LDC2017T04
Lee, Haejoong	LDC2017T04
Strassel, Stephanie	LDC2017T04
Maeda, Kazuaki	LDC2017T04
Andrus, Tony	LDC2017S03
Bills, Aric	LDC2017S03
Conners, Thomas	LDC2017S03
Crabb, Erin Smith	LDC2017S03
Dubinski, Eyal	LDC2017S03
Fiscus, Jonathan G.	LDC2017S03
Gillies, Breanna	LDC2017S03
Harper, Mary	LDC2017S03
Hazen, T.J.	LDC2017S03
Hefright, Brook	LDC2017S03
Jarrett, Amy	LDC2017S03
Le, Hanh	LDC2017S03
Ray, Jessica	LDC2017S03
Rytting, Anton	LDC2017S03
Shen, Wade	LDC2017S03
Silber, Ronnie	LDC2017S03
Tzoukermann, Evelyne	LDC2017S03
Abdulaziz, Azhar	LDC2017S04
Kepuska, Veton	LDC2017S04
Andresen, Jess	LDC2017S05
Bills, Aric	LDC2017S05
Conners, Thomas	LDC2017S05
Dubinski, Eyal	LDC2017S05
Fiscus, Jonathan G.	LDC2017S05
Harper, Mary	LDC2017S05
Kozlov, Kirill	LDC2017S05
Malyska, Nicolas	LDC2017S05
Melot, Jennifer	LDC2017S05
Morrison, Michelle	LDC2017S05
Phillips, Josh	LDC2017S05
Ray, Jessica	LDC2017S05
Rytting, Anton	LDC2017S05
Shen, Wade	LDC2017S05
Silber, Ronnie	LDC2017S05
Tzoukermann, Evelyne	LDC2017S05
Wong, Jamie	LDC2017S05
Song, Zhiyi	LDC2017T05
Garland, Jennifer	LDC2017T05
Walker, Christopher	LDC2017T05
Strassel, Stephanie	LDC2017T05
Li, Xuansong	LDC2017T06
Grimes, Stephen	LDC2017T06
Strassel, Stephanie	LDC2017T06
Ma, Xiaoyi	LDC2017T06
Xue, Nianwen	LDC2017T06
Marcus, Mitch	LDC2017T06
Taylor, Ann	LDC2017T06
Benowitz, Daniel	LDC2017S08
Bills, Aric	LDC2017S08
Conners, Thomas	LDC2017S08
Dubinski, Eyal	LDC2017S08
Fiscus, Jonathan G.	LDC2017S08
Harper, Mary	LDC2017S08
Heighway, Melanie	LDC2017S08
Le, Hanh	LDC2017S08
Melot, Jennifer	LDC2017S08
Onaka, Akiko	LDC2017S08
Ray, Jessica	LDC2017S08
Rytting, Anton	LDC2017S08
Shen, Wade	LDC2017S08
Silber, Ronnie	LDC2017S08
Tzoukermann, Evelyne	LDC2017S08
Greenberg, Craig	LDC2017S06
Martin, Alvin	LDC2017S06
Graff, David	LDC2017S06
Brandschain, Linda	LDC2017S06
Walker, Kevin	LDC2017S06
Vincent, Emmanuel	LDC2017S07
Barker, Jon	LDC2017S07
Watanabe, Shinji	LDC2017S07
Le Roux, Jonathan	LDC2017S07
Nesta, Francesco	LDC2017S07
Matassoni, Marco	LDC2017S07
Song, Zhiyi	LDC2017T07
Fore, Dana	LDC2017T07
Strassel, Stephanie	LDC2017T07
Lee, Haejoong	LDC2017T07
Wright, Jonathan	LDC2017T07
Chamberlain, Jon	LDC2017T08
Poesio, Massimo	LDC2017T08
Kruschwitz, Udo	LDC2017T08
Huang, Ruihong	LDC2017T09
Jurafsky, Daniel	LDC2017T09
Riloff, Ellen	LDC2017T09
Jones, Karen	LDC2017S09
Graff, David	LDC2017S09
Walker, Kevin	LDC2017S09
Strassel, Stephanie	LDC2017S09
Chen, Gang	LDC2017V01
Neubauer, Juergen	LDC2017V01
Garellek, Marc	LDC2017V01
Samlan, Robin	LDC2017V01
Gerratt, Bruce R.	LDC2017V01
Kreiman, Jody	LDC2017V01
Alwan, Abeer	LDC2017V01
Vincent, Emmanuel	LDC2017S10
Barker, Jon	LDC2017S10
Watanabe, Shinji	LDC2017S10
Le Roux, Jonathan	LDC2017S10
Nesta, Francesco	LDC2017S10
Matassoni, Marco	LDC2017S10
Knight, Kevin	LDC2017T10
Badarau, Bianca	LDC2017T10
Baranescu, Laura	LDC2017T10
Bonial, Claire	LDC2017T10
Bardocz, Madalina	LDC2017T10
Griffitt, Kira	LDC2017T10
Hermjakob, Ulf	LDC2017T10
Marcu, Daniel	LDC2017T10
Palmer, Martha	LDC2017T10
O'Gorman, Tim	LDC2017T10
Schneider, Nathan	LDC2017T10
Petukhova, Volha	LDC2017S11
Malchanau, Andrei	LDC2017S11
Oualil, Youssef	LDC2017S11
Klakow, Dietrich	LDC2017S11
Stevens, Christopher	LDC2017S11
de Weerd, Harmen	LDC2017S11
Taatgen, Niels	LDC2017S11
Meftah, Ali Hamid	LDC2017S12
Alotaibi, Yousef Ajami	LDC2017S12
Selouani, Sid-Ahmed	LDC2017S12
Tracey, Jennifer	LDC2017T11
Lee, Haejoong	LDC2017T11
Strassel, Stephanie	LDC2017T11
Bills, Aric	LDC2017S13
Conners, Thomas	LDC2017S13
Corris, Miriam	LDC2017S13
David, Anne	LDC2017S13
Dubinski, Eyal	LDC2017S13
Fiscus, Jonathan G.	LDC2017S13
Harper, Mary	LDC2017S13
Kaiser-Schatzlein, Alice	LDC2017S13
Melot, Jennifer	LDC2017S13
Paget, Shelley	LDC2017S13
Ray, Jessica	LDC2017S13
Rytting, Anton	LDC2017S13
Shen, Wade	LDC2017S13
Silber, Ronnie	LDC2017S13
Tzoukermann, Evelyne	LDC2017S13
Viswanath, Arun	LDC2017S13
Jones, Karen	LDC2017S14
Graff, David	LDC2017S14
Walker, Kevin	LDC2017S14
Strassel, Stephanie	LDC2017S14
Walker, Kevin	LDC2017S15
Caruso, Christopher	LDC2017S15
Maeda, Kazuaki	LDC2017S15
DiPersio, Denise	LDC2017S15
Strassel, Stephanie	LDC2017S15
Glenn, Meghan	LDC2017T12
Lee, Haejoong	LDC2017T12
Strassel, Stephanie	LDC2017T12
Maeda, Kazuaki	LDC2017T12
Linguistic Data Consortium	LDC2017S16
Britt, Erica	LDC2017S17
Xue, Nianwen	LDC2017T13
Ng, Hwee Tou	LDC2017T13
Pradhan, Sameer	LDC2017T13
Rutherford, Attapol T.	LDC2017T13
Webber, Bonnie	LDC2017T13
Wang, Chuan	LDC2017T13
Wang, Hong Min	LDC2017T13
Prasad, Rashmi	LDC2017T13
Shriberg, Elizabeth	LDC2017S18
Kathol, Andreas	LDC2017S18
Graciarena, Martin	LDC2017S18
Bratt, Harry	LDC2017S18
Kajarekar, Sachin	LDC2017S18
Jameel, Huda	LDC2017S18
Richey, Colleen	LDC2017S18
Goodman, Fred	LDC2017S18
Adams, Nikki	LDC2017S19
Bills, Aric	LDC2017S19
Conners, Thomas	LDC2017S19
Dubinski, Eyal	LDC2017S19
Fiscus, Jonathan G.	LDC2017S19
Harper, Mary	LDC2017S19
Lin, Willa	LDC2017S19
Melot, Jennifer	LDC2017S19
Ray, Jessica	LDC2017S19
Rytting, Anton	LDC2017S19
Shen, Wade	LDC2017S19
Silber, Ronnie	LDC2017S19
Tzoukermann, Evelyne	LDC2017S19
Wong, Jamie	LDC2017S19
Berkling, Kay	LDC2018T05
Chen, Xiaohe	LDC2017T14
Li, Bin	LDC2017T14
Feng, Minxuan	LDC2017T14
Xu, Chao	LDC2017T14
Xu, Runhua	LDC2017T14
Shi, Min	LDC2017T14
Yu, Lili	LDC2017T14
Xiao, Lei	LDC2017T14
Wang, Qingqing	LDC2017T14
Graff, David	LDC2017S20
Ma, Xiaoyi	LDC2017S20
Strassel, Stephanie	LDC2017S20
Walker, Kevin	LDC2017S20
Jones, Karen	LDC2017S20
O'Gorman, Tim	LDC2017T15
Conger, Katherine	LDC2017T15
Palmer, Martha	LDC2017T15
Kato, Akihiko	LDC2017T16
Shindo, Hiroyuki	LDC2017T16
Matsumoto, Yuji	LDC2017T16
Linguistic Data Consortium	LDC2017S21
Appen Pty Ltd	LDC2017S21
Bills, Aric	LDC2017S22
Conners, Thomas	LDC2017S22
Dubinski, Eyal	LDC2017S22
Fiscus, Jonathan G.	LDC2017S22
Harper, Mary	LDC2017S22
Heighway, Melanie	LDC2017S22
Lin, Willa	LDC2017S22
Melot, Jennifer	LDC2017S22
Paget, Shelley	LDC2017S22
Ray, Jessica	LDC2017S22
Roomi, Bergul	LDC2017S22
Rytting, Anton	LDC2017S22
Shen, Wade	LDC2017S22
Silber, Ronnie	LDC2017S22
Tzoukermann, Evelyne	LDC2017S22
Zwanenburg, Jacqui	LDC2017S22
Ellis, Joe	LDC2017T17
Getman, Jeremy	LDC2017T17
Strassel, Stephanie	LDC2017T17
Mena, Carlos Daniel Hernández	LDC2017S23
Herrera, Abel	LDC2017S23
Barker, Jon	LDC2017S24
Marxer, Ricard	LDC2017S24
Vincent, Emmanuel	LDC2017S24
Watanabe, Shinji	LDC2017S24
Glenn, Meghan	LDC2017T18
Lee, Haejoong	LDC2017T18
Strassel, Stephanie	LDC2017T18
Maeda, Kazuaki	LDC2017T18
Walker, Kevin	LDC2017S25
Caruso, Christopher	LDC2017S25
Maeda, Kazuaki	LDC2017S25
DiPersio, Denise	LDC2017S25
Strassel, Stephanie	LDC2017S25
University of the Basque Country	LDC2018T06
Technical University of Catalunya	LDC2018T06
Charles University	LDC2018T06
Middle East Technical University	LDC2018T06
Sabanci University	LDC2018T06
Dipartimento di Informatica of the University of Pisa	LDC2018T07
ILC-CNR	LDC2018T07
Institute for Language and Speech Processing	LDC2018T07
Institute of Informatics at the University of Szeged	LDC2018T07
Institute of Linguistics at the Hungarian Academy of Sciences	LDC2018T07
Morphologic Ltd.	LDC2018T07
Linguistic Data Consortium	LDC2018T08
Ravanelli, Mirco	LDC2018S01
Cristoforetti, Luca	LDC2018S01
Omologo, Maurizio	LDC2018S01
Taulé, Mariona	LDC2018T01
Maria Antonia Martí	LDC2018T01
Bies, Ann	LDC2018T01
Garí, Aina	LDC2018T01
Nofre, Montserrat	LDC2018T01
Song, Zhiyi	LDC2018T01
Strassel, Stephanie	LDC2018T01
Ellis, Joe	LDC2018T01
Linguistic Data Consortium	LDC2018T02
ELDA	LDC2018T02
Bills, Aric	LDC2018S02
Conners, Thomas	LDC2018S02
Corris, Miriam	LDC2018S02
Dubinski, Eyal	LDC2018S02
Fiscus, Jonathan G.	LDC2018S02
Harper, Mary	LDC2018S02
Heighway, Melanie	LDC2018S02
Kozlov, Kirill	LDC2018S02
Malyska, Nicolas	LDC2018S02
Melot, Jennifer	LDC2018S02
Ray, Jessica	LDC2018S02
Rytting, Anton	LDC2018S02
Shen, Wade	LDC2018S02
Silber, Ronnie	LDC2018S02
Tzoukermann, Evelyne	LDC2018S02
Jones, Karen	LDC2018S03
Graff, David	LDC2018S03
Walker, Kevin	LDC2018S03
Strassel, Stephanie	LDC2018S03
Ellis, Joe	LDC2018T03
Getman, Jeremy	LDC2018T03
Graff, David	LDC2018T03
Strassel, Stephanie	LDC2018T03
Tracey, Jennifer	LDC2018T04
Graff, David	LDC2018T04
Strassel, Stephanie	LDC2018T04
Ma, Xiaoyi	LDC2018T04
Wright, Jonathan	LDC2018T04
Arase, Yuki	LDC2018T09
Tsujii, Junichi	LDC2018T09
Tracey, Jennifer	LDC2018T11
Graff, David	LDC2018T11
Strassel, Stephanie	LDC2018T11
Ma, Xiaoyi	LDC2018T11
Wright, Jonathan	LDC2018T11
Tracey, Jennifer	LDC2018T10
Lee, Haejoong	LDC2018T10
Strassel, Stephanie	LDC2018T10
Ismael, Safa	LDC2018T10
Ferraro, Francis	LDC2018T12
Thomas, Max	LDC2018T12
Wolfe, Travis	LDC2018T12
Gormley, Matthew R.	LDC2018T12
Harman, Craig	LDC2018T12
Van Durme, Benjamin	LDC2018T12
Linguistic Data Consortium	LDC2018T13
ELDA	LDC2018T13
