olac	olac - dc:language	olac - dcterms:language	olac - dc:identifier
"
      "	English	eng	LDC2000S85
"
      "	English	eng	LDC2000S86
"
      "	English	eng	LDC2000S87
"
      "	English	eng	LDC2000S88
"
      "	Czech	ces	LDC2000S89
"
      "	English	eng	LDC2000S92
"
      "	English	eng	LDC2000S96
"
      "	English	eng	LDC2000T43
"
      "	English	eng	LDC2000T44
"
      "	Korean	kor	LDC2000T45
"
      "	English	eng	LDC2000T46
"
      "	Chinese	zho	LDC2000T46
"
      "	English	eng	LDC2000T47
"
      "	Chinese	zho	LDC2000T47
"
      "	English	eng	LDC2000T49
"
      "	English	eng	LDC2000T50
"
      "	Chinese	zho	LDC2000T50
"
      "	Spanish	spa	LDC2000T51
"
      "	Mandarin Chinese	cmn	LDC2000T52
"
      "	Czech	ces	LDC2000T53
"
      "	English	eng	LDC2000T54
"
      "	English	eng	LDC2001S04
"
      "	English	eng	LDC2001S06
"
      "	English	eng	LDC2001S08
"
      "	English	eng	LDC2001S13
"
      "	English	eng	LDC2001S15
"
      "	English	eng	LDC2004V01
"
      "	Gulf Arabic	afb	LDC2006T15
"
      "	Ngomba	jgo	LDC2001S16
"
      "	Spanish	spa	LDC2001S91
"
      "	Mandarin Chinese	cmn	LDC2001S91
"
      "	Mandarin Chinese	cmn	LDC2001S93
"
      "	English	eng	LDC2001S94
"
      "	Mandarin Chinese	cmn	LDC2001S95
"
      "	English	eng	LDC2001S97
"
      "	English	eng	LDC2001S99
"
      "	English	eng	LDC2001T02
"
      "	English	eng	LDC2001T05
"
      "	English	eng	LDC2001T07
"
      "	English	eng	LDC2001T09
"
      "	Czech	ces	LDC2001T10
"
      "	English	eng	LDC2001T10
"
      "	Mandarin Chinese	cmn	LDC2013T13
"
      "	English	eng	LDC2013T14
"
      "	Standard Arabic	arb	LDC2013T14
"
      "	Arabic	ara	LDC2013T14
"
      "	Mandarin Chinese	cmn	LDC2001T11
"
      "	English	eng	LDC2001T14
"
      "	Standard Arabic	arb	LDC2001T55
"
      "	English	eng	LDC2001T57
"
      "	Mandarin Chinese	cmn	LDC2001T57
"
      "	English	eng	LDC2001T58
"
      "	Mandarin Chinese	cmn	LDC2001T58
"
      "	Spanish	spa	LDC2001T60
"
      "	Spanish	spa	LDC2001T61
"
      "	Portuguese	por	LDC2001T62
"
      "	English	eng	LDC2002L27
"
      "	Mandarin Chinese	cmn	LDC2002L27
"
      "	Standard Arabic	arb	LDC2002L49
"
      "	English	eng	LDC2002L49
"
      "	Arabic	ara	LDC2002S02
"
      "	English	eng	LDC2002S04
"
      "	English	eng	LDC2002S06
"
      "	English	eng	LDC2002S09
"
      "	English	eng	LDC2002S10
"
      "	English	eng	LDC2002S11
"
      "	Mandarin Chinese	cmn	LDC2002S12
"
      "	English	eng	LDC2002S13
"
      "	Egyptian Arabic	arz	LDC2002S22
"
      "	English	eng	LDC2002S23
"
      "	German	deu	LDC2002S24
"
      "	Spanish	spa	LDC2002S25
"
      "	English	eng	LDC2002S28
"
      "	English	eng	LDC2002S34
"
      "	English	eng	LDC2002S35
"
      "	Egyptian Arabic	arz	LDC2002S37
"
      "	English	eng	LDC2002S56
"
      "	English	eng	LDC2002T01
"
      "	Mandarin Chinese	cmn	LDC2002T01
"
      "	English	eng	LDC2002T03
"
      "	English	eng	LDC2002T07
"
      "	Korean	kor	LDC2002T26
"
      "	English	eng	LDC2002T26
"
      "	English	eng	LDC2002T31
"
      "	Egyptian Arabic	arz	LDC2002T38
"
      "	Egyptian Arabic	arz	LDC2002T39
"
      "	Yemba	ybb	LDC2003L01
"
      "	English	eng	LDC2003L01
"
      "	French	fra	LDC2003L01
"
      "	Korean	kor	LDC2003L02
"
      "	English	eng	LDC2003S01
"
      "	Yemba	ybb	LDC2003S02
"
      "	Korean	kor	LDC2003S03
"
      "	Russian	rus	LDC2003S05
"
      "	English	eng	LDC2003S06
"
      "	Mandarin Chinese	cmn	LDC2003T01
"
      "	English	eng	LDC2003T02
"
      "	German	deu	LDC2003T03
"
      "	Spanish	spa	LDC2003T04
"
      "	English	eng	LDC2003T05
"
      "	Standard Arabic	arb	LDC2003T06
"
      "	Standard Arabic	arb	LDC2003T07
"
      "	Korean	kor	LDC2003T08
"
      "	Mandarin Chinese	cmn	LDC2003T09
"
      "	English	eng	LDC2003T10
"
      "	English	eng	LDC2003T11
"
      "	Standard Arabic	arb	LDC2003T12
"
      "	English	eng	LDC2003T13
"
      "	English	eng	LDC2003T15
"
      "	Yue Chinese	yue	LDC2003T16
"
      "	English	eng	LDC2003T16
"
      "	English	eng	LDC2003T17
"
      "	Mandarin Chinese	cmn	LDC2003T17
"
      "	English	eng	LDC2003T18
"
      "	Standard Arabic	arb	LDC2003T18
"
      "	English	eng	LDC2003V01
"
      "	Korean	kor	LDC2004L01
"
      "	English	eng	LDC2005S25
"
      "	English	eng	LDC2007T24
"
      "	Standard Arabic	arb	LDC2007T24
"
      "	English	eng	LDC2006S14
"
      "	Standard Arabic	arb	LDC2004L02
"
      "	English	eng	LDC2004L02
"
      "	Czech	ces	LDC2006T01
"
      "	Czech	ces	LDC2004S01
"
      "	English	eng	LDC2004S02
"
      "	English	eng	LDC2004S04
"
      "	English	eng	LDC2004S05
"
      "	English	eng	LDC2004S07
"
      "	English	eng	LDC2004S08
"
      "	English	eng	LDC2004S09
"
      "	English	eng	LDC2004S10
"
      "	English	eng	LDC2004S11
"
      "	No linguistic content	zxx	LDC2004S12
"
      "	Vervet Monkey Calls	zxx	LDC2004S12
"
      "	Yue Chinese	yue	LDC2012S01
"
      "	Urdu	urd	LDC2012S01
"
      "	Thai	tha	LDC2012S01
"
      "	Spanish	spa	LDC2012S01
"
      "	Russian	rus	LDC2012S01
"
      "	Korean	kor	LDC2012S01
"
      "	Hindi	hin	LDC2012S01
"
      "	Persian	fas	LDC2012S01
"
      "	English	eng	LDC2012S01
"
      "	Mandarin Chinese	cmn	LDC2012S01
"
      "	Bengali	ben	LDC2012S01
"
      "	Standard Arabic	arb	LDC2012S01
"
      "	Dari	prs	LDC2012S01
"
      "	Iranian Persian	pes	LDC2012S01
"
      "	Chinese	zho	LDC2012S01
"
      "	Arabic	ara	LDC2012S01
"
      "	Yue Chinese	yue	LDC2011S05
"
      "	Wu Chinese	wuu	LDC2011S05
"
      "	Vietnamese	vie	LDC2011S05
"
      "	Uzbek	uzb	LDC2011S05
"
      "	Urdu	urd	LDC2011S05
"
      "	Tigrinya	tir	LDC2011S05
"
      "	Thai	tha	LDC2011S05
"
      "	Tagalog	tgl	LDC2011S05
"
      "	Spanish	spa	LDC2011S05
"
      "	Russian	rus	LDC2011S05
"
      "	Panjabi	pan	LDC2011S05
"
      "	Min Nan Chinese	nan	LDC2011S05
"
      "	Lao	lao	LDC2011S05
"
      "	Korean	kor	LDC2011S05
"
      "	Central Khmer	khm	LDC2011S05
"
      "	Georgian	kat	LDC2011S05
"
      "	Japanese	jpn	LDC2011S05
"
      "	Italian	ita	LDC2011S05
"
      "	Hindi	hin	LDC2011S05
"
      "	Persian	fas	LDC2011S05
"
      "	English	eng	LDC2011S05
"
      "	Mandarin Chinese	cmn	LDC2011S05
"
      "	Bengali	ben	LDC2011S05
"
      "	Egyptian Arabic	arz	LDC2011S05
"
      "	Moroccan Arabic	ary	LDC2011S05
"
      "	Northern Khmer	kxm	LDC2011S05
"
      "	Dari	prs	LDC2011S05
"
      "	Iranian Persian	pes	LDC2011S05
"
      "	Chinese	zho	LDC2011S05
"
      "	Arabic	ara	LDC2011S05
"
      "	English	eng	LDC2011S06
"
      "	English	eng	LDC2004S13
"
      "	Czech	ces	LDC2004T01
"
      "	Standard Arabic	arb	LDC2004T02
"
      "	Korean	kor	LDC2004T03
"
      "	English	eng	LDC2006S39
"
      "	English	eng	LDC2004T04
"
      "	Mandarin Chinese	cmn	LDC2004T05
"
      "	English	eng	LDC2004T07
"
      "	Mandarin Chinese	cmn	LDC2004T07
"
      "	English	eng	LDC2004T08
"
      "	Chinese	zho	LDC2004T08
"
      "	English	eng	LDC2004T09
"
      "	Standard Arabic	arb	LDC2004T09
"
      "	Mandarin Chinese	cmn	LDC2004T09
"
      "	English	eng	LDC2004T10
"
      "	Standard Arabic	arb	LDC2004T11
"
      "	English	eng	LDC2004T12
"
      "	English	eng	LDC2004T13
"
      "	English	eng	LDC2004T14
"
      "	English	eng	LDC2004T15
"
      "	English	eng	LDC2004T16
"
      "	English	eng	LDC2004T17
"
      "	Standard Arabic	arb	LDC2004T17
"
      "	English	eng	LDC2004T18
"
      "	Standard Arabic	arb	LDC2004T18
"
      "	English	eng	LDC2004T19
"
      "	Standard Arabic	arb	LDC2004T23
"
      "	Czech	ces	LDC2004T25
"
      "	English	eng	LDC2004T25
"
      "	Mahou	mxx	LDC2005L01
"
      "	French	fra	LDC2005L01
"
      "	English	eng	LDC2005L01
"
      "	North Levantine Arabic	apc	LDC2005S07
"
      "	South Levantine Arabic	ajp	LDC2005S07
"
      "	North Levantine Arabic	apc	LDC2005S08
"
      "	South Levantine Arabic	ajp	LDC2005S08
"
      "	English	eng	LDC2005S11
"
      "	Standard Arabic	arb	LDC2005S11
"
      "	Mandarin Chinese	cmn	LDC2005S11
"
      "	English	eng	LDC2005S13
"
      "	Mandarin Chinese	cmn	LDC2005T01
"
      "	Standard Arabic	arb	LDC2005T02
"
      "	North Levantine Arabic	apc	LDC2005T03
"
      "	South Levantine Arabic	ajp	LDC2005T03
"
      "	English	eng	LDC2005T05
"
      "	Standard Arabic	arb	LDC2005T05
"
      "	English	eng	LDC2005T06
"
      "	Mandarin Chinese	cmn	LDC2005T06
"
      "	English	eng	LDC2005T07
"
      "	English	eng	LDC2005T08
"
      "	English	eng	LDC2005T29
"
      "	English	eng	LDC2013S09
"
      "	Mandarin Chinese	cmn	LDC2013T21
"
      "	Chinese	zho	LDC2013T21
"
      "	English	eng	LDC2005T09
"
      "	Standard Arabic	arb	LDC2005T09
"
      "	Mandarin Chinese	cmn	LDC2005T09
"
      "	Mandarin Chinese	cmn	LDC2005T10
"
      "	English	eng	LDC2005T12
"
      "	English	eng	LDC2013T22
"
      "	English	eng	LDC2005T13
"
      "	Mandarin Chinese	cmn	LDC2005T14
"
      "	English	eng	LDC2013T23
"
      "	Mandarin Chinese	cmn	LDC2013T23
"
      "	Chinese	zho	LDC2013T23
"
      "	English	eng	LDC2005T16
"
      "	Standard Arabic	arb	LDC2005T16
"
      "	Mandarin Chinese	cmn	LDC2005T16
"
      "	English	eng	LDC2005T19
"
      "	English	eng	LDC93S1
"
      "	English	eng	LDC93S10
"
      "	English	eng	LDC93S11
"
      "	English	eng	LDC93S12
"
      "	English	eng	LDC93S2
"
      "	English	eng	LDC93S3A
"
      "	English	eng	LDC93S3B
"
      "	English	eng	LDC93S3C
"
      "	English	eng	LDC93S4A
"
      "	English	eng	LDC93S4B
"
      "	English	eng	LDC93S4B-2
"
      "	English	eng	LDC93S4B-3
"
      "	English	eng	LDC93S5
"
      "	English	eng	LDC93S6A
"
      "	English	eng	LDC93S6B
"
      "	English	eng	LDC93S6C
"
      "	English	eng	LDC93S8
"
      "	English	eng	LDC93S9
"
      "	English	eng	LDC93T1
"
      "	English	eng	LDC93T3A
"
      "	English	eng	LDC93T3B
"
      "	English	eng	LDC93T3C
"
      "	English	eng	LDC93T3D
"
      "	English	eng	LDC94S13A
"
      "	English	eng	LDC94S13B
"
      "	English	eng	LDC94S13C
"
      "	English	eng	LDC94S14A
"
      "	English	eng	LDC94S14B
"
      "	English	eng	LDC94S14C
"
      "	English	eng	LDC94S15
"
      "	English	eng	LDC94S16
"
      "	Vietnamese	vie	LDC94S17
"
      "	Tamil	tam	LDC94S17
"
      "	Korean	kor	LDC94S17
"
      "	Japanese	jpn	LDC94S17
"
      "	Hindi	hin	LDC94S17
"
      "	French	fra	LDC94S17
"
      "	English	eng	LDC94S17
"
      "	German	deu	LDC94S17
"
      "	Spanish	spa	LDC94S17
"
      "	Mandarin Chinese	cmn	LDC94S17
"
      "	Persian	fas	LDC94S17
"
      "	Dari	prs	LDC94S17
"
      "	Iranian Persian	pes	LDC94S17
"
      "	English	eng	LDC94S18
"
      "	English	eng	LDC94S19
"
      "	English	eng	LDC94S20
"
      "	English	eng	LDC94S21
"
      "	French	fra	LDC94T4A
"
      "	English	eng	LDC94T4A
"
      "	Spanish	spa	LDC94T4A
"
      "	English	eng	LDC94T4B-1
"
      "	French	fra	LDC94T4B-2
"
      "	Spanish	spa	LDC94T4B-3
"
      "	Turkish	tur	LDC94T5
"
      "	Swedish	swe	LDC94T5
"
      "	Slovenian	slv	LDC94T5
"
      "	Russian	rus	LDC94T5
"
      "	Portuguese	por	LDC94T5
"
      "	Norwegian	nor	LDC94T5
"
      "	Norwegian Bokmål	nob	LDC94T5
"
      "	Norwegian Nynorsk	nno	LDC94T5
"
      "	Lithuanian	lit	LDC94T5
"
      "	Latin	lat	LDC94T5
"
      "	Japanese	jpn	LDC94T5
"
      "	Scottish Gaelic	gla	LDC94T5
"
      "	French	fra	LDC94T5
"
      "	Estonian	est	LDC94T5
"
      "	English	eng	LDC94T5
"
      "	Modern Greek (1453-)	ell	LDC94T5
"
      "	German	deu	LDC94T5
"
      "	Danish	dan	LDC94T5
"
      "	Bulgarian	bul	LDC94T5
"
      "	Tosk Albanian	als	LDC94T5
"
      "	Standard Malay	zsm	LDC94T5
"
      "	Spanish	spa	LDC94T5
"
      "	Serbian	srp	LDC94T5
"
      "	Northern Uzbek	uzn	LDC94T5
"
      "	Mandarin Chinese	cmn	LDC94T5
"
      "	Italian	ita	LDC94T5
"
      "	Dutch	nld	LDC94T5
"
      "	Czech	ces	LDC94T5
"
      "	Croatian	hrv	LDC94T5
"
      "	Albanian	sqi	LDC94T5
"
      "	English	eng	LDC95S22
"
      "	English	eng	LDC95S23
"
      "	English	eng	LDC95S24
"
      "	English	eng	LDC95S25
"
      "	English	eng	LDC95S26
"
      "	English	eng	LDC95S27
"
      "	Spanish	spa	LDC95S28
"
      "	Portuguese	por	LDC95T11
"
      "	French	fra	LDC95T11
"
      "	German	deu	LDC95T11
"
      "	Mandarin Chinese	cmn	LDC95T13
"
      "	French	fra	LDC95T20
"
      "	English	eng	LDC95T20
"
      "	English	eng	LDC95T21
"
      "	English	eng	LDC95T6
"
      "	English	eng	LDC95T7
"
      "	Japanese	jpn	LDC95T8
"
      "	Spanish	spa	LDC95T9
"
      "	English	eng	LDC96L14
"
      "	German	deu	LDC96L14
"
      "	Dutch	nld	LDC96L14
"
      "	Mandarin Chinese	cmn	LDC96L15
"
      "	Spanish	spa	LDC96L16
"
      "	Japanese	jpn	LDC96L17
"
      "	English	eng	LDC96S29
"
      "	English	eng	LDC96S30
"
      "	English	eng	LDC96S31
"
      "	English	eng	LDC96S32
"
      "	English	eng	LDC96S33
"
      "	Mandarin Chinese	cmn	LDC96S34
"
      "	Spanish	spa	LDC96S35
"
      "	English	eng	LDC96S36
"
      "	Japanese	jpn	LDC96S37
"
      "	English	eng	LDC96S38
"
      "	English	eng	LDC96S39
"
      "	English	eng	LDC96S40
"
      "	Spanish	spa	LDC96S41
"
      "	English	eng	LDC94S14D
"
      "	English	eng	LDC96S46
"
      "	English	eng	LDC96S47
"
      "	French	fra	LDC96S48
"
      "	Egyptian Arabic	arz	LDC96S49
"
      "	Iranian Persian	pes	LDC96S50
"
      "	German	deu	LDC96S51
"
      "	Hindi	hin	LDC96S52
"
      "	Japanese	jpn	LDC96S53
"
      "	Korean	kor	LDC96S54
"
      "	Mandarin Chinese	cmn	LDC96S55
"
      "	Mandarin Chinese	cmn	LDC96S56
"
      "	Spanish	spa	LDC96S57
"
      "	Spanish	spa	LDC96S58
"
      "	Tamil	tam	LDC96S59
"
      "	Vietnamese	vie	LDC96S60
"
      "	English	eng	LDC96S61
"
      "	Japanese	jpn	LDC96S64
"
      "	Japanese	jpn	LDC96S64-1
"
      "	Japanese	jpn	LDC96S64-2
"
      "	Japanese	jpn	LDC96S64-3
"
      "	Japanese	jpn	LDC96S64-4
"
      "	Japanese	jpn	LDC96S64-5
"
      "	Japanese	jpn	LDC96S65
"
      "	English	eng	LDC2013T07
"
      "	Mandarin Chinese	cmn	LDC2013T07
"
      "	Arabic	ara	LDC2013T07
"
      "	Chinese	zho	LDC2013T07
"
      "	Japanese	jpn	LDC96S65-1
"
      "	Japanese	jpn	LDC96S65-2
"
      "	Japanese	jpn	LDC96S65-3
"
      "	Japanese	jpn	LDC96S65-4
"
      "	Japanese	jpn	LDC96S65-5
"
      "	English	eng	LDC96T10
"
      "	English	eng	LDC96T11
"
      "	Mandarin Chinese	cmn	LDC96T16
"
      "	Spanish	spa	LDC96T17
"
      "	Japanese	jpn	LDC96T18
"
      "	German	deu	LDC97L18
"
      "	English	eng	LDC97L20
"
      "	English	eng	LDC97S42
"
      "	German	deu	LDC97S43
"
      "	English	eng	LDC97S44
"
      "	Egyptian Arabic	arz	LDC97S45
"
      "	English	eng	LDC97S62
"
      "	English	eng	LDC97S63
"
      "	English	eng	LDC97S66
"
      "	English	eng	LDC97T12
"
      "	English	eng	LDC97T14
"
      "	German	deu	LDC97T15
"
      "	Egyptian Arabic	arz	LDC97T19
"
      "	English	eng	LDC97T22
"
      "	English	eng	LDC98L21
"
      "	English	eng	LDC98S67
"
      "	English	eng	LDC98S68
"
      "	Mandarin Chinese	cmn	LDC98S69
"
      "	Spanish	spa	LDC98S70
"
      "	English	eng	LDC98S71
"
      "	Mandarin Chinese	cmn	LDC98S72
"
      "	Mandarin Chinese	cmn	LDC98S73
"
      "	Spanish	spa	LDC98S74
"
      "	English	eng	LDC98S75
"
      "	English	eng	LDC98S76
"
      "	English	eng	LDC98S77
"
      "	Mandarin Chinese	cmn	LDC98T24
"
      "	English	eng	LDC98T25
"
      "	Mandarin Chinese	cmn	LDC98T26
"
      "	Spanish	spa	LDC98T27
"
      "	English	eng	LDC98T28
"
      "	Spanish	spa	LDC98T29
"
      "	English	eng	LDC98T30
"
      "	English	eng	LDC98T31
"
      "	English	eng	LDC98T32
"
      "	Egyptian Arabic	arz	LDC99L22
"
      "	English	eng	LDC99L23
"
      "	English	eng	LDC99S78
"
      "	English	eng	LDC99S79
"
      "	English	eng	LDC99S80
"
      "	English	eng	LDC99S81
"
      "	English	eng	LDC99S82
"
      "	English	eng	LDC99S83
"
      "	Spanish	spa	LDC2006S37
"
      "	English	eng	LDC99S84
"
      "	English	eng	LDC99T33
"
      "	Japanese	jpn	LDC99T34
"
      "	English	eng	LDC99T36
"
      "	Portuguese	por	LDC99T40
"
      "	Spanish	spa	LDC99T41
"
      "	English	eng	LDC99T42
"
      "	English	eng	LDC2007S08
"
      "	English	eng	LDC2007S05
"
      "	Mandarin Chinese	cmn	LDC2007S09
"
      "	English	eng	LDC2007S10
"
      "	Egyptian Arabic	arz	LDC2007S10
"
      "	Standard Arabic	arb	LDC2007S10
"
      "	Mandarin Chinese	cmn	LDC2007S10
"
      "	English	eng	LDC2007S15
"
      "	Standard Arabic	arb	LDC2005T20
"
      "	English	eng	LDC2005T33
"
      "	North Levantine Arabic	apc	LDC2005S14
"
      "	South Levantine Arabic	ajp	LDC2005S14
"
      "	Mandarin Chinese	cmn	LDC2005T32
"
      "	English	eng	LDC2007S13
"
      "	English	eng	LDC2005S16
"
      "	English	eng	LDC2005T24
"
      "	English	eng	LDC2005T28
"
      "	English	eng	LDC2006T19
"
      "	Mandarin Chinese	cmn	LDC2006T19
"
      "	Standard Arabic	arb	LDC2006T19
"
      "	English	eng	LDC2005S22
"
      "	Standard Arabic	arb	LDC2005T30
"
      "	Croatian	hrv	LDC2005S28
"
      "	Mandarin Chinese	cmn	LDC2005T23
"
      "	English	eng	LDC2005S30
"
      "	Mandarin Chinese	cmn	LDC2005T34
"
      "	Yue Chinese	yue	LDC2005S26
